CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
1352,11/2/2011,70,N,G1105,G0001
1353,11/2/2011,40,N,,
1354,11/2/2011,90,GSB,G1123,G0030
1355,11/2/2011,70,N,G1063,G0050
1357,11/2/2011,40,N,G0016,G0038
1359,11/2/2011,50,N,G1032,G0014
1360,11/2/2011,90,N,G1011,G0002
1362,11/2/2011,91,FAB,G1127,G0047
1363,11/2/2011,70,N,G1060,G0014
1365,11/2/2011,50,N,G1025,G0001
1367,11/2/2011,70,N,G1012,G1137
1369,11/2/2011,50,N,,
1370,11/2/2011,91,FAB,,
1371,11/2/2011,50,N,G1089,G0038
1372,11/2/2011,50,N,G1110,G1016
1374,11/2/2011,50,N,G1089,G0038
1375,11/2/2011,70,N,G1076,G0052
1378,11/2/2011,80,N,G1128,G0049
1379,11/2/2011,40,N,G1106,G1016
1380,11/2/2011,50,N,G1037,G0061
1381,11/2/2011,50,N,G1025,G0001
1383,11/2/2011,50,N,G1094,G0014
1384,11/2/2011,80,FAB,G1072,G0042
1385,11/2/2011,40,N,G1100,G0038
1387,11/2/2011,50,N,G1097,G0014
1388,11/2/2011,40,N,G1100,G0038
1391,11/2/2011,70,N,G1022,G0015
1392,11/2/2011,50,GSB,G1115,G0011
1394,11/2/2011,91,FAB,G1127,G0047
1395,11/2/2011,50,N,G1029,G0052
1397,11/2/2011,70,N,G1029,G0052
1398,11/2/2011,70,N,G1029,G0052
1399,11/2/2011,50,N,G1098,G0001
1400,11/2/2011,50,N,G1098,G0001
1401,11/2/2011,50,N,G1025,G0001
